% 1. Title: Tweet NLP Database
% 
% 2. Sources:
%      (a) Creator: Y. Kang and Z. Wang
%      (b) Date: Feb, 2016
@RELATION NLP_project

@ATTRIBUTE first_person_pronouns  NUMERIC
@ATTRIBUTE second_person_pronouns  NUMERIC
@ATTRIBUTE third_person_pronouns  NUMERIC
@ATTRIBUTE coordinating_conjunctions  NUMERIC
@ATTRIBUTE past_tense_verbs  NUMERIC
@ATTRIBUTE future_tense_verbs  NUMERIC
@ATTRIBUTE commas  NUMERIC
@ATTRIBUTE colons_and_semicolons  NUMERIC
@ATTRIBUTE dashes  NUMERIC
@ATTRIBUTE parentheses  NUMERIC
@ATTRIBUTE ellipses  NUMERIC
@ATTRIBUTE common_nouns  NUMERIC
@ATTRIBUTE proper_nouns  NUMERIC
@ATTRIBUTE adverbs  NUMERIC
@ATTRIBUTE wh_words  NUMERIC
@ATTRIBUTE modern_slang_acroynms  NUMERIC
@ATTRIBUTE all_upper_case_words  NUMERIC
@ATTRIBUTE avg_sentence_len NUMERIC
@ATTRIBUTE avg_token_len NUMERIC
@ATTRIBUTE n_sentences NUMERIC
@ATTRIBUTE tclass {0, 4}

@DATA 
2,0,2,0,0,1,4,0,0,0,0,3,0,3,0,0,0,9.66666666667,3.90909090909,3,0
4,0,0,1,1,0,3,0,0,0,0,7,0,1,1,0,0,14.0,3.86956521739,2,0
2,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,14.0,3.21428571429,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,4.25,1,0
2,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,2,7.5,4.78571428571,2,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.0,4.5,1,0
0,0,0,1,1,0,0,0,0,0,1,5,0,1,0,0,1,21.0,5.04761904762,1,0
1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5.0,4.0,2,0
2,0,0,1,0,0,1,0,2,0,0,3,0,2,0,0,0,17.0,4.375,1,0
1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,10.0,4.2,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,8.0,1,0
0,0,1,2,0,0,0,0,0,0,0,2,2,1,0,0,0,13.0,4.75,1,0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.0,4.5,1,0
2,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,1,13.5,3.7037037037,2,0
0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,4.33333333333,4.3,3,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,14.0,1,0
1,0,2,1,0,0,1,0,0,0,0,8,0,0,0,0,0,27.0,4.0,1,0
1,1,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,19.0,4.15789473684,1,0
3,1,0,1,0,1,0,0,0,0,0,3,0,2,2,0,0,30.0,3.66666666667,1,0
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4.0,4.85714285714,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,6.0,1,0
1,0,0,1,0,0,1,0,0,0,1,3,0,3,0,0,1,12.5,4.0,2,0
1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,4.66666666667,5.16666666667,3,0
3,0,0,0,0,0,0,2,0,0,0,5,0,1,0,0,0,16.0,4.73333333333,1,0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,6.0,4.5,1,0
0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,2,5.5,3.5,2,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6.0,3.2,1,0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8.0,4.75,1,0
0,0,1,1,1,0,0,0,0,0,0,4,1,0,0,0,1,14.0,2.85714285714,1,0
5,0,0,0,2,0,1,1,0,0,0,4,0,6,0,0,0,10.6666666667,3.96428571429,3,0
2,0,1,0,1,1,2,0,0,0,0,6,2,1,0,0,0,11.0,3.75,3,0
2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,6.5,4.75,2,0
0,0,0,1,0,0,1,0,0,0,0,6,0,0,2,0,0,5.75,3.66666666667,4,0
3,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,13.0,3.23076923077,1,0
3,1,0,1,1,0,0,0,0,0,0,8,0,1,0,0,0,22.0,3.68181818182,1,0
0,0,0,1,1,0,0,0,0,0,0,6,0,1,2,0,1,6.33333333333,4.17647058824,3,0
3,0,1,1,0,0,2,0,0,0,0,5,0,2,0,0,0,25.0,3.95652173913,1,0
2,0,0,2,0,0,1,0,0,0,1,6,1,2,0,0,2,12.5,3.625,2,0
0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,8.0,5.625,1,0
0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,6.0,3.6,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,6.0,1,0
0,0,0,0,0,0,0,0,0,0,1,4,2,1,0,0,1,7.0,5.07142857143,2,0
2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,11.0,5.63636363636,1,0
2,0,0,1,2,0,1,0,0,0,0,6,0,2,0,0,0,14.0,4.07692307692,2,0
2,0,2,2,1,0,0,0,0,0,1,7,2,0,0,0,2,7.5,3.57142857143,4,0
3,0,0,0,3,0,0,0,0,0,0,2,1,1,0,0,0,5.5,4.7,2,0
1,2,0,0,0,0,0,0,0,0,1,4,0,4,0,0,0,12.5,4.70833333333,2,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,3.4,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11.0,4.4,1,0
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0,3.6,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5.0,5.4,1,0
1,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,15.0,3.69230769231,1,0
0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,1,9.0,4.375,2,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,7.0,4.66666666667,1,0
1,0,1,1,1,0,0,0,1,0,0,2,1,2,0,0,0,6.5,5.27272727273,2,0
4,0,1,0,0,0,0,0,0,0,1,13,0,0,1,0,2,13.5,3.48148148148,2,0
0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,8.0,3.625,1,0
1,0,1,1,0,0,0,0,0,0,0,5,0,4,0,0,0,7.0,5.05555555556,3,0
1,1,0,2,1,0,0,0,0,0,0,4,1,3,0,0,1,23.0,3.54545454545,1,0
1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,11.0,4.8,1,0
2,0,1,0,0,0,1,0,0,0,0,4,0,3,0,0,0,29.0,3.78571428571,1,0
0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,7.0,4.28571428571,1,0
2,0,0,0,1,0,0,0,0,0,0,3,1,2,0,0,0,7.33333333333,3.78947368421,3,0
