% 1. Title: Tweet NLP Database
% 
% 2. Sources:
%      (a) Creator: Y. Kang and Z. Wang
%      (b) Date: Feb, 2016
@RELATION NLP_project

@ATTRIBUTE first_person_pronouns  NUMERIC
@ATTRIBUTE second_person_pronouns  NUMERIC
@ATTRIBUTE third_person_pronouns  NUMERIC
@ATTRIBUTE coordinating_conjunctions  NUMERIC
@ATTRIBUTE past_tense_verbs  NUMERIC
@ATTRIBUTE future_tense_verbs  NUMERIC
@ATTRIBUTE commas  NUMERIC
@ATTRIBUTE colons_and_semicolons  NUMERIC
@ATTRIBUTE dashes  NUMERIC
@ATTRIBUTE parentheses  NUMERIC
@ATTRIBUTE ellipses  NUMERIC
@ATTRIBUTE common_nouns  NUMERIC
@ATTRIBUTE proper_nouns  NUMERIC
@ATTRIBUTE adverbs  NUMERIC
@ATTRIBUTE wh_words  NUMERIC
@ATTRIBUTE modern_slang_acroynms  NUMERIC
@ATTRIBUTE all_upper_case_words  NUMERIC
@ATTRIBUTE negative_words NUMERIC
@ATTRIBUTE avg_sentence_len NUMERIC
@ATTRIBUTE avg_token_len NUMERIC
@ATTRIBUTE n_sentences NUMERIC
@ATTRIBUTE tclass {0, 4}

@DATA 
0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,1,1,7.5,4.15384615385,2,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,5.0,4.6,1,0
1,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,0,0,9.0,4.375,2,0
1,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,8.0,4.14285714286,2,0
2,0,0,1,1,0,0,1,0,0,0,4,0,3,0,0,2,1,7.33333333333,3.5,3,0
2,0,1,2,1,0,0,0,0,0,0,4,0,3,0,0,0,1,6.66666666667,4.66666666667,3,0
0,2,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,12.0,4.41666666667,1,0
3,0,0,0,0,0,1,0,0,0,0,3,0,5,0,0,0,0,27.0,3.52,1,0
1,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,2,1,5.66666666667,4.25,3,0
4,0,0,2,1,0,0,0,0,0,0,5,1,2,0,0,1,1,16.0,3.25806451613,2,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,7.0,4.42857142857,1,0
2,1,1,0,1,0,1,0,0,0,0,4,1,1,0,0,1,1,8.66666666667,3.54545454545,3,0
